sequence,stage,block,configuration,direction_deg,slot_000,slot_045,slot_090,slot_135,slot_180,slot_225,slot_270,slot_315,measurement_r01,measurement_r02,measurement_r03
19,S1,B02,HR07,0,HR07-open,P09-D01,P05-S02-P10,P09-D02,P05-S03-P10,P09-D03,P05-S04-P10,P09-D04,V25-S1-CAL-B02-HR07-D000-R01.txt,V25-S1-CAL-B02-HR07-D000-R02.txt,V25-S1-CAL-B02-HR07-D000-R03.txt
20,S1,B02,HR06,0,HR06-open,P09-D01,P05-S02-P10,P09-D02,P05-S03-P10,P09-D03,P05-S04-P10,P09-D04,V25-S1-CAL-B02-HR06-D000-R01.txt,V25-S1-CAL-B02-HR06-D000-R02.txt,V25-S1-CAL-B02-HR06-D000-R03.txt
21,S1,B02,HR05,0,HR05-open,P09-D01,P05-S02-P10,P09-D02,P05-S03-P10,P09-D03,P05-S04-P10,P09-D04,V25-S1-CAL-B02-HR05-D000-R01.txt,V25-S1-CAL-B02-HR05-D000-R02.txt,V25-S1-CAL-B02-HR05-D000-R03.txt
22,S1,B02,HR04,0,HR04-open,P09-D01,P05-S02-P10,P09-D02,P05-S03-P10,P09-D03,P05-S04-P10,P09-D04,V25-S1-CAL-B02-HR04-D000-R01.txt,V25-S1-CAL-B02-HR04-D000-R02.txt,V25-S1-CAL-B02-HR04-D000-R03.txt
23,S1,B02,HR03,0,HR03-open,P09-D01,P05-S02-P10,P09-D02,P05-S03-P10,P09-D03,P05-S04-P10,P09-D04,V25-S1-CAL-B02-HR03-D000-R01.txt,V25-S1-CAL-B02-HR03-D000-R02.txt,V25-S1-CAL-B02-HR03-D000-R03.txt
24,S1,B02,HR02,0,HR02-open,P09-D01,P05-S02-P10,P09-D02,P05-S03-P10,P09-D03,P05-S04-P10,P09-D04,V25-S1-CAL-B02-HR02-D000-R01.txt,V25-S1-CAL-B02-HR02-D000-R02.txt,V25-S1-CAL-B02-HR02-D000-R03.txt
25,S1,B02,HR01,0,HR01-open,P09-D01,P05-S02-P10,P09-D02,P05-S03-P10,P09-D03,P05-S04-P10,P09-D04,V25-S1-CAL-B02-HR01-D000-R01.txt,V25-S1-CAL-B02-HR01-D000-R02.txt,V25-S1-CAL-B02-HR01-D000-R03.txt
26,S1,B02,P05,0,P05-S01-open,P09-D01,P05-S02-P10,P09-D02,P05-S03-P10,P09-D03,P05-S04-P10,P09-D04,V25-S1-CAL-B02-P05-D000-R01.txt,V25-S1-CAL-B02-P05-D000-R02.txt,V25-S1-CAL-B02-P05-D000-R03.txt
27,S3,B02,U4HR,270,HR01-open,P09-D01,HR03-open,P09-D02,HR05-open,P09-D03,HR07-open,P09-D04,V25-S3-U4HR-B02-D270-R01.txt,V25-S3-U4HR-B02-D270-R02.txt,V25-S3-U4HR-B02-D270-R03.txt
28,S3,B02,U4HR,180,HR01-open,P09-D01,HR03-open,P09-D02,HR05-open,P09-D03,HR07-open,P09-D04,V25-S3-U4HR-B02-D180-R01.txt,V25-S3-U4HR-B02-D180-R02.txt,V25-S3-U4HR-B02-D180-R03.txt
29,S3,B02,U4HR,90,HR01-open,P09-D01,HR03-open,P09-D02,HR05-open,P09-D03,HR07-open,P09-D04,V25-S3-U4HR-B02-D090-R01.txt,V25-S3-U4HR-B02-D090-R02.txt,V25-S3-U4HR-B02-D090-R03.txt
30,S3,B02,U4HR,0,HR01-open,P09-D01,HR03-open,P09-D02,HR05-open,P09-D03,HR07-open,P09-D04,V25-S3-U4HR-B02-D000-R01.txt,V25-S3-U4HR-B02-D000-R02.txt,V25-S3-U4HR-B02-D000-R03.txt
31,S2,B02,U4SYM,270,P05-S01-open,P09-D01,P05-S02-open,P09-D02,P05-S03-open,P09-D03,P05-S04-open,P09-D04,V25-S2-U4SYM-B02-D270-R01.txt,V25-S2-U4SYM-B02-D270-R02.txt,V25-S2-U4SYM-B02-D270-R03.txt
32,S2,B02,U4SYM,180,P05-S01-open,P09-D01,P05-S02-open,P09-D02,P05-S03-open,P09-D03,P05-S04-open,P09-D04,V25-S2-U4SYM-B02-D180-R01.txt,V25-S2-U4SYM-B02-D180-R02.txt,V25-S2-U4SYM-B02-D180-R03.txt
33,S2,B02,U4SYM,90,P05-S01-open,P09-D01,P05-S02-open,P09-D02,P05-S03-open,P09-D03,P05-S04-open,P09-D04,V25-S2-U4SYM-B02-D090-R01.txt,V25-S2-U4SYM-B02-D090-R02.txt,V25-S2-U4SYM-B02-D090-R03.txt
34,S2,B02,U4SYM,0,P05-S01-open,P09-D01,P05-S02-open,P09-D02,P05-S03-open,P09-D03,P05-S04-open,P09-D04,V25-S2-U4SYM-B02-D000-R01.txt,V25-S2-U4SYM-B02-D000-R02.txt,V25-S2-U4SYM-B02-D000-R03.txt
